101,Stefan Remco Aartsen,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,NED
102,Stefan Remco Aartsen,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NED
103,Stefan Remco Aartsen,Sydney,Swimming,Swimming Men's 100 metres Butterfly,NED
104,Stefan Remco Aartsen,Sydney,Swimming,Swimming Men's 200 metres Butterfly,NED
105,Ann Kristin Aarnes,Atlanta,Football,Football Women's Football,NOR
106,Karl Jan Aas,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",NOR
107,Lars Thorlaksn Aas,Stockholm,Fencing,"Fencing Men's Foil, Individual",NOR
108,Lars Thorlaksn Aas,Stockholm,Fencing,"Fencing Men's epee, Individual",NOR
109,Lars Thorlaksn Aas,Stockholm,Fencing,"Fencing Men's epee, Team",NOR
110,Roald Edgar Aas,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",NOR
111,Roald Edgar Aas,Cortina d'Ampezzo,Speed Skating,"Speed Skating Men's 1,500 metres",NOR
112,Roald Edgar Aas,Cortina d'Ampezzo,Speed Skating,"Speed Skating Men's 5,000 metres",NOR
113,Roald Edgar Aas,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",NOR
114,Roald Edgar Aas,Squaw Valley,Speed Skating,"Speed Skating Men's 5,000 metres",NOR
115,Roald Edgar Aas,Squaw Valley,Speed Skating,"Speed Skating Men's 10,000 metres",NOR
116,Rolf Aas,Antwerpen,Football,Football Men's Football,NOR
117,Thomas Valentin Aas,Stockholm,Sailing,Sailing Mixed 8 metres,NOR
118,Morten Gjerdrum Aasen,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",NOR
119,Meelis Aasme,Nagano,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,EST
120,Meelis Aasme,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,EST
121,Meelis Aasme,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,EST
122,Meelis Aasme,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,EST
123,Meelis Aasme,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,EST
124,Hakon Aasns,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",NOR
125,Hans Aasns,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",NOR
126,Hans Aasns,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",NOR
127,Hans Aasns,Helsinki,Shooting,Shooting Men's Trap,NOR
128,Hans Aasns,Melbourne,Shooting,Shooting Men's Trap,NOR
129,Hans Aasns,Roma,Shooting,Shooting Men's Trap,NOR
130,Erling Rudolf Aastad,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,NOR
131,Erling Rudolf Aastad,Antwerpen,Athletics,Athletics Men's Long Jump,NOR
132,Erling Rudolf Aastad,Paris,Athletics,Athletics Men's Long Jump,NOR
133,Erling Rudolf Aastad,Amsterdam,Athletics,Athletics Men's Long Jump,NOR
134,Abdelhak Aatakni,London,Boxing,Boxing Men's Light-Welterweight,MAR
135,Moonika Aava,Athina,Athletics,Athletics Women's Javelin Throw,EST
136,Moonika Aava,Beijing,Athletics,Athletics Women's Javelin Throw,EST
137,Arvi Aavik,Barcelona,Wrestling,"Wrestling Men's Heavyweight, Freestyle",EST
138,Arvi Aavik,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",EST
