instancias,nVeiculos,custoTotal,nVeiculosS,custoTotalS
bar-n100-1,6,733,9,1318
bar-n100-2,5,554,7,962
ber-n100-3,3,713,6,1480
ber-n100-4,3,494,5,1265
nyc-n100-4,2,535,4,1159
nyc-n100-5,2,671,5,1182
poa-n100-1,12,1589,20,2596
poa-n100-2,15,1539,24,2466
poa-n100-6,3,562,5,938
poa-n100-7,5,779,8,1168
bar-n200-1,22,1829,31,2882
bar-n200-2,23,2072,40,3410
bar-n200-3,8,1644,12,2681
bar-n200-4,13,838,20,1636
ber-n200-5,27,3944,46,6292
ber-n200-6,9,3016,17,5732
nyc-n200-3,7,1019,15,2123
nyc-n200-4,4,1037,7,2375
poa-n200-1,25,2433,34,3598
poa-n200-2,13,2347,22,4577
bar-n400-1,32,3085,56,6326
ber-n600-1,47,7783,97,16752
nyc-n800-3,26,3871,63,8185
poa-n1000-1,30,8082,63,18673
poa-n1500-6,141,16678,246,34922
nyc-n2000-4,29,7198,57,19634
ber-n2500-3,248,18483,395,38364
bar-n3000-6,79,21718,137,36996
poa-n4000-2,513,59115,771,88220
poa-n5000-3,286,60628,503,100811
