N NumThreads tempo1 tempo2 tempo3 tempo4 tempo5 tempo6 tempo7 tempo8 tempo9 tempo10
1000 1 0.000008 0.000009 0.000007 0.000007 0.000007 0.000009 0.000008 0.000006 0.000006 0.000006
1000 2 0.000065 0.000051 0.000053 0.000055 0.000062 0.000028 0.000062 0.000051 0.000065 0.000064
1000 4 0.000147 0.000132 0.000095 0.000083 0.000095 0.000099 0.000091 0.000099 0.000098 0.000095
1000 8 0.000144 0.000159 0.000166 0.000147 0.000137 0.000151 0.000133 0.000150 0.000125 0.000133
10000 1 0.000029 0.000029 0.000028 0.000028 0.000028 0.000029 0.000028 0.000028 0.000028 0.000028
10000 2 0.000072 0.000073 0.000073 0.000067 0.000041 0.000068 0.000061 0.000067 0.000063 0.000067
10000 4 0.000071 0.000088 0.000115 0.000081 0.000079 0.000140 0.000109 0.000096 0.000107 0.000112
10000 8 0.000143 0.000140 0.000145 0.000160 0.000144 0.000137 0.001017 0.000155 0.000151 0.000112
100000 1 0.000241 0.000244 0.000242 0.000241 0.000241 0.000242 0.000242 0.000242 0.000242 0.000243
100000 2 0.000180 0.000171 0.000187 0.000185 0.000232 0.000206 0.000176 0.000172 0.000148 0.000174
100000 4 0.000160 0.000152 0.000160 0.000190 0.000172 0.000470 0.000156 0.000144 0.000166 0.000171
100000 8 0.001781 0.000209 0.000177 0.000190 0.000192 0.000233 0.000378 0.001337 0.000181 0.000201
1000000 1 0.002455 0.002544 0.002379 0.002389 0.002392 0.002433 0.002554 0.002406 0.002380 0.002379
1000000 2 0.001285 0.001249 0.001240 0.001239 0.001294 0.001246 0.001239 0.001306 0.001281 0.001245
1000000 4 0.000946 0.000765 0.000942 0.001065 0.000698 0.000696 0.000679 0.000954 0.000767 0.000950
1000000 8 0.031624 0.000766 0.000641 0.000714 0.000719 0.001085 0.003731 0.000751 0.014012 0.000665
