N NumThreads tempo1 tempo2 tempo3 tempo4 tempo5 tempo6 tempo7 tempo8 tempo9 tempo10
1000 1 0.000010 0.000009 0.000061 0.000018 0.000012 0.000011 0.000007 0.000009 0.000019 0.000007
1000 2 0.000059 0.000053 0.000041 0.000057 0.000030 0.000038 0.000104 0.000061 0.000070 0.000051
1000 4 0.000092 0.000135 0.000112 0.000085 0.000086 0.000096 0.000126 0.000077 0.000164 0.000330
1000 8 0.007927 0.000300 0.010470 0.001146 0.000155 0.012693 0.000252 0.000140 0.014847 0.014941
10000 1 0.000044 0.000031 0.000044 0.000059 0.000044 0.000041 0.000034 0.000039 0.000030 0.000034
10000 2 0.000084 0.000070 0.000057 0.000042 0.000055 0.000216 0.000118 0.000091 0.000066 0.000068
10000 4 0.000140 0.000117 0.000113 0.000071 0.000108 0.000074 0.000261 0.000252 0.000202 0.000122
10000 8 0.001501 0.000171 0.000168 0.000149 0.012897 0.000209 0.011507 0.018069 0.001155 0.009267
100000 1 0.000287 0.000264 0.000274 0.000256 0.000407 0.000388 0.000387 0.000289 0.000305 0.000468
100000 2 0.000247 0.000215 0.000220 0.000203 0.000218 0.000494 0.000377 0.000218 0.000212 0.000447
100000 4 0.000214 0.000178 0.000147 0.000174 0.000175 0.000208 0.000327 0.000430 0.000252 0.000214
100000 8 0.000422 0.000283 0.000233 0.000795 0.015659 0.000242 0.016309 0.014189 0.010378 0.000248
1000000 1 0.002396 0.003755 0.002875 0.002822 0.002329 0.003825 0.003125 0.002480 0.002538 0.003757
1000000 2 0.001727 0.001444 0.001709 0.001541 0.002346 0.001808 0.001587 0.001744 0.001632 0.002322
1000000 4 0.000904 0.000983 0.001418 0.001076 0.001081 0.002029 0.001314 0.000793 0.000949 0.000803
1000000 8 0.000707 0.002585 0.003069 0.001020 0.000859 0.000786 0.000833 0.003219 0.000977 0.002110
